register,register_label,status,mapped_fields,evidence
0,D0,confirmed_semantic,work_mode,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
1,D1,confirmed_semantic,grid_voltage_range,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
2,D2,confirmed_semantic,charging_priority,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
3,D3,confirmed_semantic,ac_frequency_setting,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
4,D4,confirmed_semantic,power_saving_mode,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
5,D5,confirmed_semantic,inverter_ac_voltage_level,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
6,D6,confirmed_semantic,battery_type,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
7,D7,confirmed_semantic,battery_rated_voltage_v,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
8,D8,confirmed_semantic,battery_discharge_min_voltage_v,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
9,D9,confirmed_semantic,battery_discharge_start_voltage_v,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
10,D10,confirmed_semantic,grid_to_battery_max_charge_current_a,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08; FC06 request/readback mismatch also observed
11,D11,confirmed_semantic,pv_to_battery_max_charge_current_a,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08; FC06 changed raw 800 to 820 and FC03 read back 820
12,D12,confirmed_semantic,inverter_max_grid_current_a,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
13,D13,confirmed_semantic,inverter_max_output_power_kw,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
14,D14,confirmed_semantic,charging_soc_pct,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
15,D15,confirmed_semantic,discharging_soc_pct,local UART plus authenticated read-only IoTRix 2.2.31 settings snapshot on 2026-08-08
